SJF Non-Preemptive Zaman Tablosu
[0] -- P001 -- [1]
[2] -- P002 -- [4]
[4] -- P003 -- [7]
[7] -- P004 -- [11]
[11] -- P005 -- [16]
[16] -- P006 -- [22]
[22] -- P007 -- [29]
[29] -- P008 -- [37]
[37] -- P009 -- [46]
[46] -- P021 -- [47]
[47] -- P022 -- [49]
[49] -- P023 -- [52]
[52] -- P024 -- [56]
[56] -- P025 -- [61]
[61] -- P026 -- [67]
[67] -- P027 -- [74]
[74] -- P028 -- [82]
[82] -- P041 -- [83]
[83] -- P042 -- [85]
[85] -- P043 -- [88]
[88] -- P044 -- [92]
[92] -- P045 -- [97]
[97] -- P046 -- [103]
[103] -- P047 -- [110]
[110] -- P048 -- [118]
[118] -- P029 -- [127]
[127] -- P061 -- [128]
[128] -- P062 -- [130]
[130] -- P063 -- [133]
[133] -- P064 -- [137]
[137] -- P065 -- [142]
[142] -- P066 -- [148]
[148] -- P067 -- [155]
[155] -- P068 -- [163]
[163] -- P081 -- [164]
[164] -- P082 -- [166]
[166] -- P083 -- [169]
[169] -- P084 -- [173]
[173] -- P085 -- [178]
[178] -- P086 -- [184]
[184] -- P087 -- [191]
[191] -- P088 -- [199]
[199] -- P049 -- [208]
[208] -- P101 -- [209]
[209] -- P102 -- [211]
[211] -- P103 -- [214]
[214] -- P104 -- [218]
[218] -- P105 -- [223]
[223] -- P106 -- [229]
[229] -- P107 -- [236]
[236] -- P108 -- [244]
[244] -- P121 -- [245]
[245] -- P122 -- [247]
[247] -- P123 -- [250]
[250] -- P124 -- [254]
[254] -- P125 -- [259]
[259] -- P126 -- [265]
[265] -- P127 -- [272]
[272] -- P128 -- [280]
[280] -- P141 -- [281]
[281] -- P069 -- [290]
[290] -- P142 -- [292]
[292] -- P143 -- [295]
[295] -- P144 -- [299]
[299] -- P145 -- [304]
[304] -- P146 -- [310]
[310] -- P147 -- [317]
[317] -- P148 -- [325]
[325] -- P161 -- [326]
[326] -- P162 -- [328]
[328] -- P163 -- [331]
[331] -- P164 -- [335]
[335] -- P165 -- [340]
[340] -- P166 -- [346]
[346] -- P167 -- [353]
[353] -- P168 -- [361]
[361] -- P181 -- [362]
[362] -- P182 -- [364]
[364] -- P183 -- [367]
[367] -- P184 -- [371]
[371] -- P185 -- [376]
[376] -- P186 -- [382]
[382] -- P187 -- [389]
[389] -- P188 -- [397]
[397] -- P089 -- [406]
[406] -- P109 -- [415]
[415] -- P129 -- [424]
[424] -- P149 -- [433]
[433] -- P169 -- [442]
[442] -- P189 -- [451]
[451] -- P010 -- [461]
[461] -- P030 -- [471]
[471] -- P050 -- [481]
[481] -- P070 -- [491]
[491] -- P090 -- [501]
[501] -- P110 -- [511]
[511] -- P130 -- [521]
[521] -- P150 -- [531]
[531] -- P170 -- [541]
[541] -- P190 -- [551]
[551] -- P011 -- [562]
[562] -- P031 -- [573]
[573] -- P051 -- [584]
[584] -- P071 -- [595]
[595] -- P091 -- [606]
[606] -- P111 -- [617]
[617] -- P131 -- [628]
[628] -- P151 -- [639]
[639] -- P171 -- [650]
[650] -- P191 -- [661]
[661] -- P012 -- [673]
[673] -- P032 -- [685]
[685] -- P052 -- [697]
[697] -- P072 -- [709]
[709] -- P092 -- [721]
[721] -- P112 -- [733]
[733] -- P132 -- [745]
[745] -- P152 -- [757]
[757] -- P172 -- [769]
[769] -- P192 -- [781]
[781] -- P013 -- [794]
[794] -- P033 -- [807]
[807] -- P053 -- [820]
[820] -- P073 -- [833]
[833] -- P093 -- [846]
[846] -- P113 -- [859]
[859] -- P133 -- [872]
[872] -- P153 -- [885]
[885] -- P173 -- [898]
[898] -- P193 -- [911]
[911] -- P014 -- [925]
[925] -- P034 -- [939]
[939] -- P054 -- [953]
[953] -- P074 -- [967]
[967] -- P094 -- [981]
[981] -- P114 -- [995]
[995] -- P134 -- [1009]
[1009] -- P154 -- [1023]
[1023] -- P174 -- [1037]
[1037] -- P194 -- [1051]
[1051] -- P015 -- [1066]
[1066] -- P035 -- [1081]
[1081] -- P055 -- [1096]
[1096] -- P075 -- [1111]
[1111] -- P095 -- [1126]
[1126] -- P115 -- [1141]
[1141] -- P135 -- [1156]
[1156] -- P155 -- [1171]
[1171] -- P175 -- [1186]
[1186] -- P195 -- [1201]
[1201] -- P016 -- [1217]
[1217] -- P036 -- [1233]
[1233] -- P056 -- [1249]
[1249] -- P076 -- [1265]
[1265] -- P096 -- [1281]
[1281] -- P116 -- [1297]
[1297] -- P136 -- [1313]
[1313] -- P156 -- [1329]
[1329] -- P176 -- [1345]
[1345] -- P196 -- [1361]
[1361] -- P017 -- [1378]
[1378] -- P037 -- [1395]
[1395] -- P057 -- [1412]
[1412] -- P077 -- [1429]
[1429] -- P097 -- [1446]
[1446] -- P117 -- [1463]
[1463] -- P137 -- [1480]
[1480] -- P157 -- [1497]
[1497] -- P177 -- [1514]
[1514] -- P197 -- [1531]
[1531] -- P018 -- [1549]
[1549] -- P038 -- [1567]
[1567] -- P058 -- [1585]
[1585] -- P078 -- [1603]
[1603] -- P098 -- [1621]
[1621] -- P118 -- [1639]
[1639] -- P138 -- [1657]
